path,category,bytes,sha256
/home/ubuntu/_full/GENESIS/Core/checklists/GENESIS_Core_POC_checklist_2025-10_v1.csv,data_config,317,6676a8237c20cde5d87c30e249ae160665881d05481dcba376f68770c1c0c39e
/home/ubuntu/_full/GENESIS/Core/prompts/GENESIS_Core_QA_Cutover_prompt.txt,docs,239,0bb897139f06366c924be18fd40b1745e83633a3cfc42e86b283f3a83f25d5f6
/home/ubuntu/_full/GENESIS/Core/reportes/GENESIS_Core_TechBrief_2025-10_v1.pdf,docs,2132,3a97f53bb84ac477ddb4bee693e942a9f922b54e61e7afc49ba448f55129faac
/home/ubuntu/_full/GENESIS/Core/reportes/GENESIS_Core_ArchiveLog_2025-10_v1.csv,data_config,46,3422db239e98b2995c786c6b205cbc324445f73bdbbb9da4a53182367e62736b
/home/ubuntu/_full/GENESIS/Core/assets/GENESIS_legal.txt,docs,93,dd99622be9c8fe2e5ef8dd17e5aeaedb6fe1abf7be51c0b8d02b75d2c81c9173
/home/ubuntu/_full/GENESIS/Core/assets/archive/executive/OnePager.pdf,docs,24,693d5055bc95aa85c907be2bb823b0b057f56b9fc5629dc0aa2fc3e59f3e3e2b
/home/ubuntu/_full/GENESIS/Core/assets/archive/executive/ElevatorPitch.txt,docs,523,81c1bb9ada6d81700a82cafe85b06bd3a7ec6742126b2707c7812d2f00f67809
/home/ubuntu/_full/GENESIS/Core/assets/archive/executive/DemoSlide.txt,docs,798,854e7e2071a14d41953ce0ec89363315f3db1934e5c0671e3a2ce6a773ea17f3
/home/ubuntu/_full/GENESIS/Core/assets/archive/executive/DeliveryEmailTemplate.txt,docs,1181,400eb45c1136d5641b9956b624b647e6db39a31528e8ba2e4fbd48442563e97a
/home/ubuntu/_full/GENESIS/Core/assets/archive/executive/PricingPlan.md,docs,1870,ba4b8a1984a4fa80df945ac1d4164e47069cdf985b719282d2b358b0e7a44d21
/home/ubuntu/_full/GENESIS/Core/assets/archive/executive/NegotiationScript.md,docs,1487,7d5a90ee3c4f4182bbda5b7f88801e2afc257b5085617c49a4b55df0a0268e3c
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/App.js,source_code,29,0372584f24bc933d27fe358caf8e8ec7294c4d812f6c6346f96a3e7925760456
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/ActionButton.js,source_code,26,38228f90b795218702ac33a4b141cd20b865706258a0b6c6f75ad5a3b83d6300
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/KpiDisplay.js,source_code,24,2a5eb83de7edc5b221cdcabc405700755e7be9c99fb49c61ed3600f8e18029ed
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/NarrativeDisplay.js,source_code,30,5099e5dd4a403be07af1d997bc1211684dbcf84b82486687c5aeb5a7a23be903
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/TrustScoreBadge.js,source_code,29,f41f0bccb523f5a26a07ed95e871015d3f6c43f1dfafd6f80b28cd8b97e61803
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/useKpiData.js,source_code,37,8da1fd54da2eb257cf0af3ac24cff06b43a71c2a0abf86e2f10bf4d69e7ccdbf
/home/ubuntu/_full/GENESIS/Core/assets/archive/src/governance.test.js,source_code,17,58bdd8a7b21bd84a87fafffbe9310680dab6af96c616e3821d991449090bc3f3
/home/ubuntu/_full/GENESIS/Core/assets/archive/config/package.json,data_config,45,6feadef29febbb16c95e62c04da6b34351ddded46bd622d2ce50c3b5d37e3b36
/home/ubuntu/_full/GENESIS/Core/assets/archive/config/app.json,data_config,52,844708ed20653be13af684e6ef4baa08fb93904afea787db758435323452182d
/home/ubuntu/_full/GENESIS/Core/assets/archive/config/MASTER_MANIFEST.json,data_config,71,5c2076b57a9dbf19a0f82702cb549f6ef9e3e7da434b5aa62652f5d57d3cd283
/home/ubuntu/_full/GENESIS/Core/assets/archive/docs/README.md,docs,33,5ed656eef47ddd4b1a42320d8e3674c05108d85382dc7a04bc3f63b3389dea28
/home/ubuntu/_full/GENESIS/Core/assets/archive/data/db.json,data_config,19,52b2a7691ea17bd39cad5ea585ab21803c81dd448189ea356fc2bde25e7bc48b
/home/ubuntu/_full/GENESIS/Core/builds/GENESIS_scorecard.csv,data_config,265,45ddc7e0261317b98bf3bf09fb81f14b11e4ffcf60394e25791adeee450fe3ed
